700;90;
775;180;
850;90;
950;180;
1050;90;	
1150;180;
1230;90;	
1340;180;	
1420;90;	
1500;180;	
1620;90;	
1700;90;	
1780;90;	
2150;215;	
2230;215;	
2350;310;	
2390;275;	
2420;220;	
2430;180;	
2525;120;	
2605;120;	
2685;120;	
2830;152;	
2945;183;	
3070;215;	
3200;247;	
3330;279;	
3450;311;	
3538;380;	
3690;343;	
3790;343;	
4100;340;	
4250;320;	
4500;300;	
4620;247;	
4760;300;	
4880;247;	
5000;300;	
5075;247;	
5150;300;	
5230;247;	
5300;300;	
5580;180;	
5780;180;	
5945;90;	
6460;311;	
6540;311;	
6620;311;	
6700;311;	
6780;311;	
6860;311;	
6940;311;	
7020;311;	
7100;311;	
7180;311;	
7260;311;	
7340;311;	
7420;311;
7500;311;
7580;311;
8350;151;
8430;240;
8765;375;
8860;471;
9020;503;
9185;503;
9340;503;
10640;280;
10720;280;
10800;280;
10960;340;
11600;280;
11680;280;
11760;280;
11840;280;
11920;280;
12000;280;
12550;320;
12750;320;
14460;215;
14840;420;
16150;400;
16200;400;	
17390;183;	
17600;247;	
17790;311;	
17965;375;	
18175;375;	
18300;420;	
18385;375;	
18485;420;	
18575;375;	
18685;420;	
18930;400;	
19050;343;	
19840;375;	
20000;375;	
20300;420;	
20300;300;	
20300;180;
