700;120;
730;120;
850;180;
900;180;
1100;240;	
1130;240;	
1160;240;	
1360;240;	
1400;240;	
1500;300;	
1720;240;	
2850;220;	
2900;220;	
3000;220;	
5300;260;	
5480;320;	
5600;280;	
5630;280;	
5660;280;	
5840;340;	
5880;340;	
5920;340;	
6200;280;	
6240;280;	
6500;90;	
6580;90;	
6660;90;	
6740;90;	
6820;90;	
7525;190;	
7575;190;	
7525;310;	
7575;310;	
7300;470;	
7175;410;	
7575;510;	
7750;525;	
8300;475;	
8380;475;	
8460;475;	
8540;475;	
8620;475;	
9150;540;	
9275;540;	
9400;540;	
9040;540;	
9500;540;	
9600;540;	
9680;540;	
9780;540;	
9880;540;	
9975;540;	
10075;540;	
10400;315;	
10480;315;	
10560;315;	
10740;285;	
10800;285;
11080;90;
11160;90;
11240;90;
11320;90;
11400;90;
11480;90;
11720;190;
11800;190;
11980;190;
12060;190;
12280;220;
12480;220;
12680;220;
12880;220;
13080;220;
13480;280;
13580;280;
13700;340;
13850;280;
14000;340;
14250;340;
14500;440;
14750;470;
15180;440;
15300;440;	
15860;480;	
16300;460;	
16750;330;	
17080;180;	
17275;180;	
17375;120;	
17475;120;	
17590;180;	
17934;180;	
18300;180;	
18500;240;	
18850;180;	
19025;180;	
19250;180;	
19450;180;	
19700;120;	
19780;120;
